Received Time,Timestamp,RSSI,SNR,SF,Frequency,Airtime
2024-11-24 13:54:24,1527787689,-90,11.8,7,904900000,0.071936s
2024-11-24 13:54:13,1516290354,-89,11.8,7,904700000,0.077056s
2024-11-24 13:54:01,1504509228,-88,12,7,904900000,0.071936s
2024-11-24 13:54:01,1504509228,-85,-8.5,7,904900000,0.071936s
2024-11-24 13:53:50,1493160522,-91,11.5,7,905100000,0.071936s
2024-11-24 13:53:50,1493160522,-86,-5,7,905100000,0.071936s
2024-11-24 13:53:38,1481727853,-93,11.5,7,903900000,0.071936s
2024-11-24 13:53:38,1481727853,-81,-8.2,7,903900000,0.071936s
2024-11-24 13:53:26,1469639050,-93,11,7,904100000,0.071936s
2024-11-24 13:53:15,1458244489,-89,11,7,904300000,0.082176s
2024-11-24 13:53:03,1446795275,-90,12.2,7,904500000,0.071936s
2024-11-24 13:52:40,1423284494,-88,12,7,905100000,0.071936s
2024-11-24 13:52:40,1423284494,-87,-6,7,905100000,0.071936s
2024-11-24 13:52:31,1414240023,-90,10.8,7,904300000,0.077056s
2024-11-24 13:52:21,1404547701,-87,12.8,7,904100000,0.077056s
2024-11-24 13:52:21,1404547701,-83,-4.8,7,904100000,0.077056s
2024-11-24 13:52:11,1394556043,-88,12.5,7,904500000,0.077056s
2024-11-24 13:52:01,1384549150,-88,12.5,7,904700000,0.077056s
2024-11-24 13:52:01,1384549150,-86,-7,7,904700000,0.077056s
2024-11-24 13:51:51,1374702499,-84,13,7,905300000,0.077056s
2024-11-24 13:51:42,1365156543,-85,13.2,7,904900000,0.082176s
2024-11-24 13:51:42,1365156543,-84,-5.5,7,904900000,0.082176s
2024-11-24 13:51:32,1355520253,-85,12.8,7,905100000,0.071936s
2024-11-24 13:51:32,1355520253,-85,-2.5,7,905100000,0.071936s
2024-11-24 13:51:01,1324615801,-97,7.8,7,904100000,0.071936s
2024-11-24 13:50:44,1307321370,-98,8.2,7,904100000,0.071936s
2024-11-24 13:50:27,1290578976,-95,9,7,904900000,0.071936s
2024-11-24 13:50:10,1273031704,-92,11.2,7,905100000,0.077056s
2024-11-24 13:50:10,1273031704,-88,-8,7,905100000,0.077056s
2024-11-24 13:49:53,1255980164,-93,11,7,904700000,0.071936s
2024-11-24 13:49:35,1238625736,-91,11.2,7,905300000,0.071936s
2024-11-24 13:49:18,1221305466,-97,7.5,7,904300000,0.077056s
2024-11-24 13:49:01,1204048065,-89,12,7,904900000,0.077056s
2024-11-24 13:48:44,1187640675,-88,12.2,7,904100000,0.077056s
2024-11-24 13:48:27,1170690258,-86,12.8,7,904900000,0.077056s
2024-11-24 13:48:27,1170690258,-84,-4,7,904900000,0.077056s
2024-11-24 13:48:10,1153483854,-85,13.5,7,904700000,0.077056s
2024-11-24 13:47:53,1136319311,-86,13,7,904500000,0.071936s
2024-11-24 13:47:36,1119422911,-92,11.2,7,905300000,0.071936s
2024-11-24 13:47:19,1102299187,-97,8,7,904300000,0.071936s
2024-11-24 13:47:01,1084591590,-95,10,7,904100000,0.071936s
2024-11-24 13:46:44,1067421068,-95,10,7,904700000,0.071936s
2024-11-24 13:46:27,1050236253,-92,11.2,7,903900000,0.071936s
2024-11-24 13:46:10,1033626838,-93,11,7,904700000,0.071936s
2024-11-24 13:45:53,1016778582,-93,10,7,904900000,0.077056s
2024-11-24 13:45:37,1000162188,-88,12.2,7,905300000,0.077056s
2024-11-24 13:45:19,982680780,-103,2,7,905100000,0.077056s
