Received Time,Timestamp,RSSI,SNR,SF,Frequency,Airtime
2024-11-24 12:34:42,1040894538,-90,12,7,904100000,0.077056s
2024-11-24 12:34:42,1040894538,-79,-4.2,7,904100000,0.077056s
2024-11-24 12:34:26,1024275880,-89,12.2,7,905100000,0.071936s
2024-11-24 12:34:09,1007424045,-91,11.5,7,904900000,0.071936s
2024-11-24 12:33:53,991058932,-91,11.5,7,905300000,0.071936s
2024-11-24 12:33:36,974651736,-92,11.5,7,904700000,0.071936s
2024-11-24 12:33:19,957395152,-97,8.8,7,903900000,0.071936s
2024-11-24 12:33:02,940352404,-94,8.5,7,904300000,0.071936s
2024-11-24 12:32:45,923146290,-94,10.2,7,904500000,0.071936s
2024-11-24 12:32:45,923146290,-81,-3.5,7,904500000,0.071936s
2024-11-24 12:32:28,906425446,-91,10.5,7,904300000,0.071936s
2024-11-24 12:32:28,906425446,-78,-7.5,7,904300000,0.071936s
2024-11-24 12:32:11,889469596,-92,10.8,7,904900000,0.071936s
2024-11-24 12:31:54,872326453,-98,8,7,904100000,0.071936s
2024-11-24 12:31:54,872326453,-79,-8,7,904100000,0.071936s
2024-11-24 12:31:37,855522181,-99,7.8,7,903900000,0.071936s
2024-11-24 12:31:20,838305542,-94,10,7,904500000,0.071936s
2024-11-24 12:31:20,838305542,-81,-4.2,7,904500000,0.071936s
2024-11-24 12:31:03,821822394,-92,11,7,905100000,0.071936s
2024-11-24 12:30:47,805432296,-94,10,7,904700000,0.071936s
2024-11-24 12:30:30,788895617,-93,11,7,905300000,0.071936s
2024-11-24 12:30:14,772279560,-93,11,7,904500000,0.071936s
2024-11-24 12:29:57,755698755,-93,11,7,904700000,0.071936s
2024-11-24 12:29:40,738591487,-93,10.5,7,904100000,0.077056s
2024-11-24 12:29:23,721385249,-89,12,7,905300000,0.077056s
2024-11-24 12:29:06,704422119,-88,12.2,7,904900000,0.071936s
2024-11-24 12:28:49,687444026,-92,10,7,904300000,0.082176s
2024-11-24 12:28:32,670384734,-89,11.8,7,905100000,0.071936s
