2024-11-24T18:54:13.365585715Z,-89,11.8
2024-11-24T18:54:24.862273497Z,-90,11.8
2024-11-24T18:54:37.021706332Z,-95,10
2024-11-24T18:54:36.986022Z,-83,-4.5
2024-11-24T18:54:48.960450955Z,-93,10.5
2024-11-24T18:54:48.924309Z,-80,-5.2
2024-11-24T18:55:00.608329361Z,-89,12.5
2024-11-24T18:55:00.574923Z,-83,-4.8
2024-11-24T18:55:12.096789018Z,-89,12.2
2024-11-24T18:55:12.063156Z,-86,-1
2024-11-24T18:55:24.070743739Z,-95,9
2024-11-24T18:55:24.032359Z,-82,-3
2024-11-24T18:55:35.947577758Z,-91,11.2
2024-11-24T18:55:47.809213152Z,-96,9.8
2024-11-24T18:55:59.767304789Z,-89,12.2
2024-11-24T18:55:59.736914Z,-84,-2.8
